x-axis,SCL1,3
second,Volt,Volt
+2.0760000E-03,+391.9598162E-03,+190.9547932E-03
+2.0762500E-03,+391.9598162E-03,+4.5728642938E+00
+2.0765000E-03,+361.8090625E-03,+4.5427135403E+00
+2.0767500E-03,+391.9598162E-03,+4.5527637915E+00
+2.0770000E-03,+391.9598162E-03,+4.5326632895E+00
+2.0772500E-03,+391.9598162E-03,+4.5728642938E+00
+2.0775000E-03,+391.9598162E-03,+4.5326632895E+00
+2.0777500E-03,+371.8593142E-03,+4.5326632895E+00
+2.0780000E-03,+361.8090630E-03,+4.5628140426E+00
+2.0782500E-03,+391.9598162E-03,+4.5326632895E+00
+2.0785000E-03,+391.9598162E-03,+4.5427135403E+00
+2.0787500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0790000E-03,+391.9598162E-03,+4.5628140426E+00
+2.0792500E-03,+391.9598162E-03,+4.5728642938E+00
+2.0795000E-03,+391.9598162E-03,+4.5628140432E+00
+2.0797500E-03,+391.9598162E-03,+4.5326632895E+00
+2.0800000E-03,+391.9598162E-03,+4.5326632895E+00
+2.0802500E-03,+391.9598162E-03,+4.5326632895E+00
+2.0805000E-03,+391.9598162E-03,+4.5728642941E+00
+2.0807500E-03,+391.9598162E-03,+4.5326632895E+00
+2.0810000E-03,+391.9598162E-03,+4.5326632895E+00
+2.0812500E-03,+351.7588122E-03,+190.9547932E-03
+2.0815000E-03,+391.9598162E-03,+190.9547932E-03
+2.0817500E-03,+371.8593142E-03,+190.9547932E-03
+2.0820000E-03,+391.9598162E-03,+201.0050447E-03
+2.0822500E-03,+391.9598162E-03,+190.9547932E-03
+2.0825000E-03,+391.9598162E-03,+190.9547932E-03
+2.0827500E-03,+391.9598162E-03,+190.9547932E-03
+2.0830000E-03,+381.9095648E-03,+221.1055464E-03
+2.0832500E-03,+391.9598162E-03,+190.9547932E-03
+2.0835000E-03,+381.9095654E-03,+190.9547932E-03
+2.0837500E-03,+391.9598162E-03,+211.0552953E-03
+2.0840000E-03,+391.9598162E-03,+190.9547932E-03
+2.0842500E-03,+391.9598159E-03,+231.1557978E-03
+2.0845000E-03,+391.9598162E-03,+221.1055470E-03
+2.0847500E-03,+371.8593142E-03,+231.1557978E-03
+2.0850000E-03,+391.9598162E-03,+190.9547932E-03
+2.0852500E-03,+391.9598162E-03,+190.9547932E-03
+2.0855000E-03,+361.8090625E-03,+190.9547932E-03
+2.0857500E-03,+371.8593142E-03,+211.0552958E-03
