x-axis,1,2,3,4,MATH1
second,Volt,Volt,Volt,Volt,Volt
+128.102000E-06,+512.562830001E-03,+4.211055252701E+00,+231.155797839E-03,+1.211180936545E+00,-699.218750000E-03
+128.103600E-06,+457.286448657E-03,+4.183417062029E+00,+175.879416495E-03,+1.211180936545E+00,-754.272460964E-03
+128.105200E-06,+404.522630140E-03,+4.226130629451E+00,+150.753788650E-03,+1.211180936545E+00,-807.495117201E-03
+128.106800E-06,+391.959816217E-03,+4.251256257296E+00,+95.477407306E-03,+1.211180936545E+00,-820.312500000E-03
+128.108400E-06,+364.321625545E-03,+4.195979875951E+00,+42.713588789E-03,+1.183542745873E+00,-820.312500000E-03
+128.110000E-06,+379.397002295E-03,+4.115577866762E+00,+30.150774866E-03,+1.198618122623E+00,-820.312500000E-03
+128.111600E-06,+391.959816217E-03,+4.090452238917E+00,+30.150774866E-03,+1.183542745873E+00,-792.114257799E-03
+128.113200E-06,+419.598006890E-03,+4.007537666900E+00,+57.788965539E-03,+1.198618122623E+00,-779.296875000E-03
+128.114800E-06,+404.522630139E-03,+3.914572843789E+00,+70.351779461E-03,+1.211180936545E+00,-807.495117202E-03
+128.116400E-06,+447.236197563E-03,+3.834170834599E+00,+70.351779461E-03,+1.183542745872E+00,-737.060546833E-03
+128.118000E-06,+444.723634734E-03,+3.781407016083E+00,+97.989970134E-03,+1.170979931951E+00,-727.416992202E-03
+128.119600E-06,+404.522630139E-03,+3.768844202161E+00,+82.914593383E-03,+1.170979931951E+00,-767.089843764E-03
+128.121200E-06,+391.959816217E-03,+3.768844202161E+00,+70.351779461E-03,+1.170979931951E+00,-779.296875000E-03
+128.122800E-06,+391.959816217E-03,+3.741206011488E+00,+42.713588788E-03,+1.170979931951E+00,-779.296875000E-03
+128.124400E-06,+391.959816217E-03,+3.701005006893E+00,+30.150774866E-03,+1.170979931951E+00,-779.296875000E-03
+128.126000E-06,+391.959816217E-03,+3.688442192972E+00,+2.512584193E-03,+1.170979931951E+00,-779.296875000E-03
+128.127600E-06,+391.959816217E-03,+3.660804002298E+00,-10.050229728E-03,+1.198618122624E+00,-807.495117202E-03
+128.129200E-06,+419.598006891E-03,+3.592964807030E+00,+17.587960945E-03,+1.211180936545E+00,-792.114257798E-03
+128.130800E-06,+432.160820812E-03,+3.567839179188E+00,+57.788965540E-03,+1.211180936545E+00,-779.296875000E-03
+128.132400E-06,+459.799011486E-03,+3.512562797841E+00,+97.989970134E-03,+1.183542745872E+00,-724.243164033E-03
+128.134000E-06,+500.000016080E-03,+3.459798979325E+00,+110.552784055E-03,+1.170979931951E+00,-672.363281236E-03
+128.135600E-06,+512.562830001E-03,+3.419597974731E+00,+138.190974729E-03,+1.170979931951E+00,-660.156250000E-03
+128.137200E-06,+484.924639327E-03,+3.407035160810E+00,+123.115597976E-03,+1.198618122624E+00,-715.209960967E-03
+128.138800E-06,+444.723634733E-03,+3.407035160810E+00,+82.914593382E-03,+1.211180936545E+00,-767.089843765E-03
+128.140400E-06,+432.160820812E-03,+3.379396970136E+00,+70.351779461E-03,+1.211180936545E+00,-779.296875000E-03
+128.142000E-06,+404.522630138E-03,+3.339195965541E+00,+42.713588787E-03,+1.211180936545E+00,-807.495117203E-03
+128.143600E-06,+419.598006892E-03,+3.298994960946E+00,+2.512584192E-03,+1.211180936545E+00,-792.114257797E-03
+128.145200E-06,+432.160820812E-03,+3.258793956352E+00,+17.587960946E-03,+1.183542745871E+00,-752.441406235E-03
+128.146800E-06,+459.799011486E-03,+3.190954761083E+00,+57.788965541E-03,+1.170979931951E+00,-712.036132797E-03
+128.148400E-06,+472.361825407E-03,+3.138190942568E+00,+97.989970135E-03,+1.170979931951E+00,-699.218750000E-03
+128.150000E-06,+472.361825407E-03,+3.125628128648E+00,+110.552784055E-03,+1.198618122625E+00,-727.416992204E-03
+128.151600E-06,+444.723634732E-03,+3.070351747299E+00,+110.552784055E-03,+1.183542745871E+00,-740.234375000E-03
+128.153200E-06,+432.160820812E-03,+3.017587928784E+00,+82.914593381E-03,+1.198618122625E+00,-767.089843765E-03
+128.154800E-06,+432.160820812E-03,+3.005025114864E+00,+70.351779461E-03,+1.211180936545E+00,-779.296875000E-03
+128.156400E-06,+404.522630137E-03,+3.005025114864E+00,+42.713588786E-03,+1.211180936545E+00,-807.495117204E-03
+128.158000E-06,+391.959816217E-03,+3.005025114864E+00,+30.150774866E-03,+1.211180936545E+00,-820.312500000E-03
+128.159600E-06,+391.959816217E-03,+3.005025114864E+00,+30.150774866E-03,+1.211180936545E+00,-820.312500000E-03
+128.161200E-06,+419.598006893E-03,+2.949748733514E+00,+30.150774866E-03,+1.211180936545E+00,-792.114257796E-03
+128.162800E-06,+432.160820812E-03,+2.896984915000E+00,+57.788965542E-03,+1.211180936545E+00,-779.296875000E-03
+128.164400E-06,+432.160820812E-03,+2.856783910405E+00,+97.989970136E-03,+1.183542745870E+00,-752.441406234E-03
+128.166000E-06,+459.799011487E-03,+2.816582905810E+00,+82.914593380E-03,+1.198618122626E+00,-740.234375000E-03
+128.167600E-06,+472.361825407E-03,+2.748743710540E+00,+97.989970136E-03,+1.211180936545E+00,-740.234375000E-03
+128.169200E-06,+444.723634731E-03,+2.723618082702E+00,+110.552784055E-03,+1.211180936545E+00,-767.089843766E-03
+128.170800E-06,+432.160820812E-03,+2.723618082702E+00,+110.552784055E-03,+1.211180936545E+00,-779.296875000E-03
+128.172400E-06,+432.160820812E-03,+2.723618082702E+00,+82.914593380E-03,+1.211180936545E+00,-779.296875000E-03
+128.174000E-06,+432.160820812E-03,+2.723618082702E+00,+42.713588785E-03,+1.211180936545E+00,-779.296875000E-03
+128.175600E-06,+459.799011488E-03,+2.695979892026E+00,+57.788965542E-03,+1.211180936545E+00,-752.441406233E-03
+128.177200E-06,+472.361825407E-03,+2.683417078108E+00,+42.713588785E-03,+1.211180936545E+00,-740.234375000E-03
+128.178800E-06,+472.361825407E-03,+2.628140696755E+00,+30.150774866E-03,+1.211180936545E+00,-740.234375000E-03
+128.180400E-06,+472.361825407E-03,+2.575376878242E+00,+57.788965543E-03,+1.211180936545E+00,-740.234375000E-03
+128.182000E-06,+444.723634730E-03,+2.535175873648E+00,+97.989970137E-03,+1.211180936545E+00,-767.089843767E-03
+128.183600E-06,+432.160820812E-03,+2.494974869053E+00,+110.552784055E-03,+1.211180936545E+00,-779.296875000E-03
+128.185200E-06,+432.160820812E-03,+2.454773864458E+00,+82.914593379E-03,+1.211180936545E+00,-779.296875000E-03
+128.186800E-06,+432.160820812E-03,+2.469849241217E+00,+70.351779461E-03,+1.211180936545E+00,-779.296875000E-03
+128.188400E-06,+459.799011489E-03,+2.482412055135E+00,+70.351779461E-03,+1.211180936545E+00,-752.441406233E-03
+128.190000E-06,+444.723634730E-03,+2.482412055135E+00,+42.713588784E-03,+1.211180936545E+00,-767.089843767E-03
+128.191600E-06,+432.160820812E-03,+2.454773864458E+00,+30.150774866E-03,+1.211180936545E+00,-779.296875000E-03
+128.193200E-06,+432.160820812E-03,+2.414572859863E+00,+30.150774866E-03,+1.211180936545E+00,-779.296875000E-03
+128.194800E-06,+432.160820812E-03,+2.374371855269E+00,+57.788965543E-03,+1.211180936545E+00,-779.296875000E-03
+128.196400E-06,+432.160820812E-03,+2.361809041351E+00,+42.713588784E-03,+1.211180936545E+00,-779.296875000E-03
+128.198000E-06,+459.799011489E-03,+2.306532659997E+00,+57.788965543E-03,+1.211180936545E+00,-752.441406232E-03
+128.199600E-06,+472.361825407E-03,+2.281407032162E+00,+70.351779461E-03,+1.211180936545E+00,-740.234375000E-03
+128.201200E-06,+444.723634729E-03,+2.281407032162E+00,+97.989970138E-03,+1.238819127222E+00,-795.288085974E-03
+128.202800E-06,+432.160820812E-03,+2.253768841485E+00,+110.552784055E-03,+1.251381941140E+00,-820.312500000E-03
+128.204400E-06,+459.799011489E-03,+2.241206027567E+00,+82.914593378E-03,+1.223743750462E+00,-765.258789025E-03
+128.206000E-06,+472.361825407E-03,+2.213567836890E+00,+70.351779461E-03,+1.211180936545E+00,-740.234375000E-03
+128.207600E-06,+444.723634729E-03,+2.201005022973E+00,+70.351779461E-03,+1.211180936545E+00,-767.089843768E-03
+128.209200E-06,+432.160820812E-03,+2.201005022973E+00,+70.351779461E-03,+1.211180936545E+00,-779.296875000E-03
+128.210800E-06,+432.160820812E-03,+2.201005022973E+00,+70.351779461E-03,+1.211180936545E+00,-779.296875000E-03
